source,name,triplet,elevation,wind,timezone,lat,lng,date,depth,depth_change,water_equiv,water_equiv_change
SNOTEL,BEAR RIVER RS,992:UT:SNTL,8777,False,-7,40.8852,-110.8277,2014-11-07,0,0,0.0,0.0
SNOTEL,PARADISE,679:WA:SNTL,5130,False,-8,46.78265,-121.74765,2014-11-07,1,1,0.0,0.0
SNOTEL,GERBER RESERVOIR,945:OR:SNTL,4890,False,-8,42.2062,-121.1334,2014-11-07,,,0.1,0.0
SNOTEL,GUNSIGHT PASS,944:WY:SNTL,9820,False,-7,43.38332,-109.87815,2014-11-07,3,0,0.3,0.1
SNOTEL,LAKEFORK BASIN,567:UT:SNTL,10966,False,-7,40.73783,-110.62087,2014-11-07,4,-1,1.1,0.0
SNOTEL,BEAVER CREEK,328:MT:SNTL,7850,False,-7,44.94966,-111.35852,2014-11-07,,,0.3,0.0
SNOTEL,CAMP JACKSON,383:UT:SNTL,8968,False,-7,37.81333,-109.48723,2014-11-07,1,1,0.0,0.0
SNOTEL,PATTON MEADOWS AM,1241:OR:SNTLT,6780,False,-8,42.24522,-120.60527,2014-11-07,0,-2,,
SNOTEL,SQUAW SPRINGS,1156:UT:SNTL,9105,False,-7,38.4973,-112.00789,2014-11-07,0,0,0.2,0.2
SNOTEL,PINE CREEK PASS,695:ID:SNTL,6720,False,-7,43.56998,-111.21157,2014-11-07,0,,0.1,0.0
SNOTEL,LONG FLAT,592:UT:SNTL,8000,False,-7,37.51283,-113.39682,2014-11-07,,,0.2,-0.4
SNOTEL,RENO HILL,716:WY:SNTL,8400,False,-7,42.57111,-106.08889,2014-11-07,2,0,2.9,0.1
SNOTEL,VACARRO SPRING,1137:NV:SNTL,7836,False,-8,39.44868,-115.98338,2014-11-07,1,0,0.1,-0.1
SNOTEL,SAGE CREEK BASIN,1015:WY:SNTL,7850,True,-7,41.401,-107.25717,2014-11-07,0,0,0.1,-0.1
SNOTEL,CARIBOU SNOW PILLOW,210:AK:MSNT,900,False,-9,65.15,-147.55,no data,no data,no data,no data,no data
SNOTEL,RAINY PASS,711:WA:SNTL,4890,False,-8,48.51865,-120.7358,2014-11-07,,,0.0,0.0
SNOTEL,NAVAJO WHISKEY CK,1138:NM:SNTL,9050,False,-7,36.17728,-108.94691,2014-11-07,1,0,0.0,0.0
SNOTEL,FISHER CREEK,480:MT:SNTL,9100,False,-7,45.06235,-109.94488,2014-11-07,10,0,2.3,0.2
SNOTEL,SAND LAKE,731:WY:SNTL,10050,False,-7,41.46257,-106.28107,2014-11-07,10,-1,2.2,0.1
SNOTEL,MORGAN CREEK,639:ID:SNTL,7600,False,-7,44.84263,-114.26897,2014-11-07,0,0,0.1,0.1
SNOTEL,BIGELOW CAMP,343:OR:SNTL,5130,False,-8,42.07875,-123.34393,2014-11-07,,,0.2,-0.1
SNOTEL,COPPER BOTTOM,413:MT:SNTL,5200,False,-7,47.05678,-112.595,2014-11-07,0,0,0.1,0.1
SNOTEL,SALT CREEK FALLS,729:OR:SNTL,4220,False,-8,43.61193,-122.11758,2014-11-07,0,0,0.0,0.0
SNOTEL,WILLOW PARK,870:CO:SNTL,10700,False,-7,40.43254,-105.73337,2014-11-07,1,-2,0.7,0.1
SNOTEL,TWELVEMILE CREEK,835:MT:SNTL,5600,False,-7,46.14287,-114.44755,2014-11-07,0,0,0.1,0.1
SNOTEL,BASE CAMP,314:WY:SNTL,7030,False,-7,43.94583,-110.44677,2014-11-07,1,0,0.2,0.1
SNOTEL,TIZER BASIN,893:MT:SNTL,6880,False,-7,46.34937,-111.85308,2014-11-07,0,0,0.1,0.1
SNOTEL,FORESTDALE CREEK,1049:CA:SNTL,8017,False,-8,38.68245,-119.9597,2014-11-07,0,0,0.0,-0.1
SNOTEL,MARTEN RIDGE,999:WA:SNTL,3520,False,-8,48.76292,-121.69823,2014-11-07,,,0.1,0.0
SNOTEL,JACKSON PEAK,550:ID:SNTL,7070,True,-7,44.05092,-115.44322,2014-11-07,1,-1,0.4,-0.3
SNOTEL,BLACK MESA,1185:CO:SNTL,11580,False,-7,37.78972,-108.18365,2014-11-07,4,0,1.1,0.0
SNOTEL,HOBBLE CREEK,1223:UT:SNTL,7399,False,-7,40.18505,-111.3594,2014-11-07,1,0,0.4,0.1
SNOTEL,POORMAN CREEK,932:MT:SNTL,5100,False,-7,48.12672,-115.62333,2014-11-07,0,0,0.0,0.0
SNOTEL,LIZARD HEAD PASS,586:CO:SNTL,10200,False,-7,37.79926,-107.92426,2014-11-07,1,0,0.5,0.1
SNOTEL,MILK SHAKES,1079:OR:SNTL,5580,False,-8,45.9821,-117.94883,2014-11-07,1,1,0.0,0.0
SNOTEL,MORMON MOUNTAIN,640:AZ:SNTL,7500,False,-7,34.94109,-111.51849,2014-11-07,0,0,0.0,0.0
SNOTEL,MANCOS,905:CO:SNTL,10000,False,-7,37.43087,-108.16954,2014-11-07,0,0,0.0,0.0
SNOTEL,CRATER MEADOWS,425:ID:SNTL,5960,False,-8,46.56306,-115.28833,2014-11-07,3,-2,1.3,-0.4
SNOTEL,WOLF CREEK SUMMIT,874:CO:SNTL,11000,False,-7,37.47922,-106.8017,2014-11-07,8,0,2.1,0.0
SNOTEL,DEADWOOD SUMMIT,439:ID:SNTL,6860,False,-7,44.54483,-115.563,2014-11-07,3,-1,0.9,0.1
SNOTEL,ALBRO LAKE,916:MT:SNTL,8300,False,-7,45.59723,-111.95902,2014-11-07,2,-1,1.2,0.0
SNOTEL,HOPEWELL,532:NM:SNTL,10000,True,-7,36.71631,-106.26348,2014-11-07,2,0,0.6,0.1
SNOTEL,WILLOW CREEK PASS,869:CO:SNTL,9540,False,-7,40.34703,-106.09433,2014-11-07,6,2,1.2,0.0
SNOTEL,WHITE RIVER #1,864:UT:SNTL,8641,False,-7,39.9645,-110.98845,2014-11-07,1,1,0.0,0.0
SNOTEL,CLEAR LAKE,401:OR:SNTL,3810,False,-8,45.18832,-121.6916,2014-11-07,0,0,0.0,0.0
SNOTEL,BISON LAKE,345:CO:SNTL,10880,False,-7,39.76487,-107.35681,2014-11-07,5,-1,1.5,0.0
SNOTEL,MOORE CREEK BRIDGE,1176:AK:SNTL,2250,False,-9,59.58783,-135.2105,2014-11-07,130,123,,
SNOTEL,ESTHER ISLAND,1071:AK:SNTL,50,True,-9,60.798,-148.0857,no data,no data,no data,no data,no data
SNOTEL,GRAND TARGHEE,1082:WY:SNTL,9260,False,-7,43.77933,-110.92783,2014-11-07,7,0,2.1,0.2
SNOTEL,DISMAL SWAMP,446:CA:SNTL,7360,False,-8,41.99127,-120.18033,2014-11-07,,,0.0,-0.1
SNOTEL,OLD BATTLE,673:WY:SNTL,10000,False,-7,41.15397,-106.96937,2014-11-07,6,0,1.1,0.0
SNOTEL,EMIGRANT SPRINGS,470:OR:SNTL,3800,False,-8,45.55808,-118.45383,2014-11-07,0,0,0.0,-0.1
SNOTEL,SHEEP CANYON,748:WA:SNTL,3990,False,-8,46.19325,-122.25393,2014-11-07,,,0.0,0.0
SNOTEL,CAYUSE PASS,1085:WA:SNTL,5240,True,-8,46.86954,-121.5343,2014-11-07,,,0.0,0.0
SNOTEL,PINE CREEK,694:UT:SNTL,8790,False,-7,38.88183,-112.24927,2014-11-07,1,-1,0.8,0.1
SNOTEL,LOWER MULCHATNA,1233:AK:SNTL,320,True,-9,58.82001,-156.99064,no data,no data,no data,no data,no data
SNOTEL,CHALENDER,1139:AZ:SNTL,7100,False,-7,35.26247,-112.06231,2014-11-07,0,,0.2,0.0
